,Age,DailyRate,Education,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MonthlyRupiah,BonusScore,FinalBonus
0,41,1102,2,94,3,2,4,5993,1,3,8,0,6,4,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7424430,176.80982882222287,10596
1,49,279,1,61,2,2,2,5130,0,4,10,3,10,7,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6355302,184.84618499943375,9482
2,37,1373,2,92,2,1,3,2090,1,3,7,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2589197,138.29976402515265,2890
3,33,1392,4,56,3,1,3,2909,1,3,8,3,8,7,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3603816,153.98261925493588,4479
4,27,591,1,40,3,1,2,3468,0,3,6,3,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4296333,131.09344717910076,4546
5,32,1005,2,79,3,1,4,3068,0,3,8,2,7,7,3,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3800793,144.64398872807075,4437
6,59,1324,3,81,4,1,1,2670,1,4,12,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3307730,170.24324891288924,4545
7,30,1358,1,67,3,1,3,2693,0,4,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3336224,149.43727290927225,4024
8,38,216,3,44,2,3,3,9526,0,4,10,2,9,7,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11801288,196.27781904680603,18697
9,36,1299,3,94,3,2,3,5237,0,3,17,3,7,7,7,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6487859,176.2143200900766,9228
10,35,809,3,84,4,1,2,2426,0,3,6,5,5,4,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3005451,150.97002598354328,3662
11,29,153,2,49,2,2,3,4193,1,3,10,3,9,5,0,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5194500,167.75052396553775,7033
12,31,670,1,31,3,1,3,2911,0,3,5,1,5,2,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3606293,145.49424748225937,4235
13,34,1346,2,93,3,1,4,2661,0,3,3,2,2,2,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3296581,139.04075207189135,3699
14,28,103,3,50,2,1,3,2028,1,3,6,4,4,2,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2512389,154.63503836828986,3135
15,29,1389,4,51,4,3,1,9980,0,3,10,1,10,9,8,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12363726,209.29804916157303,20887
16,32,334,2,80,4,1,2,3298,1,3,7,5,6,2,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4085728,163.55323934097652,5393
17,22,1123,2,96,4,1,4,2935,1,3,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3636026,149.7392250528981,4394
