Age,DailyRate,Education,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MonthlyRupiah,BonusScore,AnnualBonus
41,1102,2,94,3,2,4,5993,1,3,8,0,6,4,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7424430,0.5926666946626357,6548.351501113176
49,279,1,61,2,2,2,5130,0,4,10,3,10,7,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6355302,0.5665998635264905,5471.657299890896
37,1373,2,92,2,1,3,2090,1,3,7,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2589197,0.3326767622693608,1740.2944331429642
33,1392,4,56,3,1,3,2909,1,3,8,3,8,7,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3603816,0.4383233668011358,2909.0
27,591,1,40,3,1,2,3468,0,3,6,3,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4296333,0.3394518985145294,3468.0
32,1005,2,79,3,1,4,3068,0,3,8,2,7,7,3,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3800793,0.4878866288079604,3068.0
59,1324,3,81,4,1,1,2670,1,4,12,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3307730,0.7248742791684876,3270.414325379862
30,1358,1,67,3,1,3,2693,0,4,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3336224,0.46864883810187163,2693.0
38,216,3,44,2,3,3,9526,0,4,10,2,9,7,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11801288,0.5733744566986742,14987.96507451157
36,1299,3,94,3,2,3,5237,0,3,17,3,7,7,7,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6487859,0.49017962606280296,5237.0
35,809,3,84,4,1,2,2426,0,3,6,5,5,4,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3005451,0.4823226549819154,2426.0
